name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
GAUMONT,FR0000034894,GAM,Euronext Paris,EUR,80.0,2025-08-22,80,119.0,9520.0,GAM1,SMART,81.0,CLOSE_TICKER,,,,,81.0,2025-08-28T21:18:38.817076,OK,ISIN:FR0000034894->GAM1@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GEA GRENOBL.ELECT.,FR0000053035,GEA,Euronext Paris,EUR,86.5,2025-08-22,86.5,6.0,518.0,GEA,SMART,86.5,CLOSE_TICKER,,,,,86.5,2025-08-28T21:18:40.134251,OK,ISIN:FR0000053035->GEA@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GECINA,FR0010040865,GFC,Euronext Paris,EUR,87.65,2025-08-22,87.65,84783.0,7400379.1,GFC,SMART,83.98,HISTORICAL,,,,,83.98,2025-08-28T21:18:41.999296,OK,ISIN:FR0010040865->GFC@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GENEURO,CH0308403085,GNRO,Euronext Paris,EUR,0.036,2025-08-22,0.036,20005.0,652.18,GNRO,SMART,0.0314,CLOSE_TICKER,,,,,0.0314,2025-08-28T21:18:43.315748,OK,ISIN:CH0308403085->GNRO@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GENFIT,FR0004163111,GNFT,Euronext Paris,EUR,3.786,2025-08-22,3.786,91418.0,345673.196,GNFT,SMART,3.528,CLOSE_TICKER,,,,,3.528,2025-08-28T21:18:44.634698,OK,ISIN:FR0004163111->GNFT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GENSIGHT BIOLOGICS,FR0013183985,SIGHT,Euronext Paris,EUR,0.164,2025-08-22,0.164,72175.0,11867.8912,SIGHT,SMART,0.164,CLOSE_TICKER,,,,,0.164,2025-08-28T21:18:46.046285,OK,ISIN:FR0013183985->SIGHT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GETLINK SE,FR0010533075,GET,Euronext Paris,EUR,17.05,2025-08-22,17.05,292654.0,4994548.64,GET,SMART,16.29,CLOSE_TICKER,,,,,16.29,2025-08-28T21:18:47.283511,OK,ISIN:FR0010533075->GET@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GL EVENTS,FR0000066672,GLO,Euronext Paris,EUR,33.85,2025-08-22,33.85,22730.0,760656.6,GLO,SMART,31.05,CLOSE_TICKER,,,,,31.05,2025-08-28T21:18:48.587165,OK,ISIN:FR0000066672->GLO@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GPE GROUP PIZZORNO,FR0010214064,GPE,Euronext Paris,EUR,61.2,2025-08-22,61.2,1.0,61.2,GPE1,SMART,60.0,CLOSE_TICKER,,,,,60.0,2025-08-28T21:18:49.962739,OK,ISIN:FR0010214064->GPE1@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GRAINES VOLTZ,FR0000065971,GRVO,Euronext Paris,EUR,22.0,2025-08-22,22,3952.0,86618.9,GRVO,SMART,21.0,CLOSE_TICKER,,,,,21.0,2025-08-28T21:18:51.186464,OK,ISIN:FR0000065971->GRVO@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GROUPE CRIT,FR0000036675,CEN,Euronext Paris,EUR,63.0,2025-08-22,63,945.0,59519.0,CEN,SMART,62.4,CLOSE_TICKER,,,,,62.4,2025-08-28T21:18:52.514589,OK,ISIN:FR0000036675->CEN@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GROUPE ETPO,FR0000066219,INFE,Euronext Paris,EUR,71.0,2025-08-22,71,8.0,568.0,INFE.OLD,,,NO_DATA,,,,,,,NO_PRICE_DATA,NAME:GROUPE ETPO->INFE.OLD@,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GROUPE JAJ,FR0004010338,GJAJ,Euronext Paris,EUR,1.17,2025-08-22,1.17,15887.0,18587.79,GJAJ,SMART,1.17,CLOSE_TICKER,,,,,1.17,2025-08-28T21:18:55.615638,OK,ISIN:FR0004010338->GJAJ@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GROUPE PARTOUCHE,FR0012612646,PARP,Euronext Paris,EUR,19.75,2025-08-22,19.75,556.0,11051.0,PARP,SMART,19.0,CLOSE_TICKER,,,,,19.0,2025-08-28T21:18:56.892914,OK,ISIN:FR0012612646->PARP@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GROUPE SFPI,FR0004155000,SFPI,Euronext Paris,EUR,2.39,2025-08-22,2.39,1780.0,4246.39,SFPI,SMART,2.3,CLOSE_TICKER,,,,,2.3,2025-08-28T21:18:58.165373,OK,ISIN:FR0004155000->SFPI@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GTT,FR0011726835,GTT,Euronext Paris,EUR,158.5,2025-08-22,158.5,35960.0,5714959.0,GTT,SMART,156.8,CLOSE_TICKER,,,,,156.8,2025-08-28T21:18:59.569635,OK,ISIN:FR0011726835->GTT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GUERBET,FR0000032526,GBT,Euronext Paris,EUR,22.5,2025-08-22,22.5,5634.0,125061.95,GBT,SMART,21.1,CLOSE_TICKER,,,,,21.1,2025-08-28T21:19:00.901399,OK,ISIN:FR0000032526->GBT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
GUILLEMOT,FR0000066722,GUI,Euronext Paris,EUR,5.38,2025-08-22,5.38,5175.0,27939.28,GUI,SMART,5.42,CLOSE_TICKER,,,,,5.42,2025-08-28T21:19:02.252815,OK,ISIN:FR0000066722->GUI@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
HAULOTTE GROUP,FR0000066755,PIG,Euronext Paris,EUR,2.6,2025-08-22,2.6,3731.0,9738.05,PIG,SMART,2.59,CLOSE_TICKER,,,,,2.59,2025-08-28T21:19:03.558853,OK,ISIN:FR0000066755->PIG@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
HDF,FR0014003VY4,HDF,Euronext Paris,EUR,5.0,2025-08-22,5,1109.0,5527.29,HDF,SMART,4.94,CLOSE_TICKER,,,,,4.94,2025-08-28T21:19:04.944261,OK,ISIN:FR0014003VY4->HDF@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
HERMES INTL,FR0000052292,RMS,Euronext Paris,EUR,2095.0,2025-08-22,2095,44408.0,92850011.5,RMS,SMART,2119.0,CLOSE_TICKER,,,,,2119.0,2025-08-28T21:19:06.299343,OK,ISIN:FR0000052292->RMS@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
HIGH CO,FR0000054231,HCO,Euronext Paris,EUR,4.8,2025-08-22,4.8,68293.0,324297.51,HCO,SMART,4.75,CLOSE_TICKER,,,,,4.75,2025-08-28T21:19:07.574945,OK,ISIN:FR0000054231->HCO@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
HOTELS DE PARIS,FR0004165801,HDP,Euronext Paris,EUR,2.12,2025-08-22,2.12,8.0,17.1,HDP,SMART,2.0,CLOSE_TICKER,,,,,2.0,2025-08-28T21:19:08.807641,OK,ISIN:FR0004165801->HDP@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ICADE,FR0000035081,ICAD,Euronext Paris,EUR,22.56,2025-08-22,22.56,88985.0,1990730.58,ICAD,SMART,20.88,CLOSE_TICKER,,,,,20.88,2025-08-28T21:19:10.226082,OK,ISIN:FR0000035081->ICAD@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ID LOGISTICS GROUP,FR0010929125,IDL,Euronext Paris,EUR,438.0,2025-08-22,438,3095.0,1353985.0,IDL,SMART,405.5,CLOSE_TICKER,,,,,405.5,2025-08-28T21:19:11.485483,OK,ISIN:FR0010929125->IDL@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
IDI,FR0000051393,IDIP,Euronext Paris,EUR,78.2,2025-08-22,78.2,843.0,66620.6,IDIP,SMART,79.2,CLOSE_TICKER,,,,,79.2,2025-08-28T21:19:12.822967,OK,ISIN:FR0000051393->IDIP@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
IMERYS,FR0000120859,NK,Euronext Paris,EUR,22.58,2025-08-22,22.58,55064.0,1238186.2,NK,SMART,21.94,CLOSE_TICKER,,,,,21.94,2025-08-28T21:19:14.162764,OK,ISIN:FR0000120859->NK@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
IMMOB.DASSAULT,FR0000033243,IMDA,Euronext Paris,EUR,54.4,2025-08-22,54.4,52.0,2827.8,IMDA,SMART,54.0,CLOSE_TICKER,,,,,54.0,2025-08-28T21:19:15.491610,OK,ISIN:FR0000033243->IMDA@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
INFOTEL,FR0000071797,INF,Euronext Paris,EUR,43.7,2025-08-22,43.7,2151.0,94061.9,INF,SMART,40.8,CLOSE_TICKER,,,,,40.8,2025-08-28T21:19:16.867008,OK,ISIN:FR0000071797->INF@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
INNATE PHARMA,FR0010331421,IPH,Euronext Paris,EUR,2.01,2025-08-22,2.01,200207.0,400340.168,IPH,SMART,1.844,CLOSE_TICKER,,,,,1.844,2025-08-28T21:19:18.178147,OK,ISIN:FR0010331421->IPH@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
INTERPARFUMS,FR0004024222,ITP,Euronext Paris,EUR,32.74,2025-08-22,32.74,18518.0,605909.66,ITP,SMART,31.58,CLOSE_TICKER,,,,,31.58,2025-08-28T21:19:19.454735,OK,ISIN:FR0004024222->ITP@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
INTEXA,FR0000064958,ITXT,Euronext Paris,EUR,2.5,2025-08-22,2.5,35.0,87.5,ITXT,SMART,2.5,CLOSE_TICKER,,,,,2.5,2025-08-28T21:19:20.683679,OK,ISIN:FR0000064958->ITXT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
INVENTIVA,FR0013233012,IVA,Euronext Paris,EUR,3.88,2025-08-22,3.88,165184.0,633263.8525,IVA,SMART,4.63,CLOSE_TICKER,,,,,4.63,2025-08-28T21:19:22.011956,OK,ISIN:FR0013233012->IVA@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
IPSEN,FR0010259150,IPN,Euronext Paris,EUR,116.7,2025-08-22,116.7,55507.0,6483142.9,IPN,SMART,116.8,CLOSE_TICKER,,,,,116.8,2025-08-28T21:19:23.385835,OK,ISIN:FR0010259150->IPN@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
IPSOS,FR0000073298,IPS,Euronext Paris,EUR,39.0,2025-08-22,39,41699.0,1621966.64,IPS,SMART,37.1,CLOSE_TICKER,,,,,37.1,2025-08-28T21:19:24.791125,OK,ISIN:FR0000073298->IPS@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
