name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_spread_pct,ibkr_liquidite,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,38.9,2025-09-04,38.9,945.0,36824.1,AXW,SMART,38.9,CLOSE_TICKER,,,,,38.9,2.056555269922872,TRES_FAIBLE,2025-09-04T18:43:31.825670,OK,ISIN:FR0011040500->AXW@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,28.84,2025-09-04,28.84,124684.0,3590068.34,AALB,SMART,28.62,CLOSE_TICKER,,,,,28.62,,TRES_FAIBLE,2025-09-04T18:43:33.126119,OK,ISIN:NL0000852564->AALB@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,50.96,2025-09-04,50.96,1337900.0,68303418.36,ABI,SMART,51.38,CLOSE_TICKER,,,,,51.38,,TRES_FAIBLE,2025-09-04T18:43:34.437387,OK,ISIN:BE0974293251->ABI@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.214,2025-09-04,1.214,93444.0,113969.894,AB,SMART,1.23,CLOSE_TICKER,,,,,1.23,0.16460905349794255,TRES_FAIBLE,2025-09-04T18:43:35.645826,OK,ISIN:FR0010557264->AB@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-09-04,-,,,,,,,,,,,,,,,CONTRACT_NOT_FOUND,BLACKLISTED_ISIN:FR001400ZRT0,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.95,2025-09-04,5.95,42798.0,254888.11,ABCA,SMART,5.85,CLOSE_TICKER,,,,,5.85,3.868797308662734,TRES_FAIBLE,2025-09-04T18:43:36.848545,OK,ISIN:FR0004040608->ABCA@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.04,2025-09-04,9.04,82.0,749.64,ABEO,SMART,9.18,CLOSE_TICKER,,,,,9.18,9.190371991247263,TRES_FAIBLE,2025-09-04T18:43:38.070381,OK,ISIN:FR0013185857->ABEO@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.765,2025-09-04,3.765,658208.0,2531819.8175,ABNX,SMART,3.545,CLOSE_TICKER,,,,,3.545,3.452855245683928,TRES_FAIBLE,2025-09-04T18:43:39.368146,OK,ISIN:FR0012616852->ABNX@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,72.8,2025-09-04,72.8,62686.0,4513832.9,ABVX,SMART,71.5,CLOSE_TICKER,,,,,71.5,,TRES_FAIBLE,2025-09-04T18:43:40.581484,OK,ISIN:FR0012333284->ABVX@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.8,2025-09-04,4.8,1.0,4.8,ABLD,SMART,4.8,CLOSE_TICKER,,,,,4.8,,TRES_FAIBLE,2025-09-04T18:43:41.876991,OK,ISIN:FR001400AHX6->ABLD@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,25.37,2025-09-04,25.37,2102714.0,53142711.84,ABN,SMART,25.08,CLOSE_TICKER,,,,,25.08,0.7111813512445663,TRES_FAIBLE,2025-09-04T18:43:43.141313,OK,ISIN:NL0011540547->ABN@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.15,2025-09-04,6.15,37.0,227.55,ABO1,SMART,6.25,CLOSE_TICKER,,,,,6.25,,TRES_FAIBLE,2025-09-04T18:43:44.464090,OK,ISIN:BE0974278104->ABO1@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.308,2025-09-04,0.308,13706.0,4226.944,ACAN,SMART,0.311,CLOSE_TICKER,,,,,0.311,,TRES_FAIBLE,2025-09-04T18:43:45.757536,OK,ISIN:FR0000064602->ACAN@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.026,2025-09-04,0.026,1272524.0,33140.086,ACCB,SMART,0.026,CLOSE_TICKER,,,,,0.026,,TRES_FAIBLE,2025-09-04T18:43:47.033193,OK,ISIN:BE0003696102->ACCB@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACCOR,FR0000120404,AC,Euronext Paris,EUR,41.05,2025-09-04,41.05,792773.0,32368827.715,AC,SMART,40.85,CLOSE_TICKER,,,,,40.85,0.3901487442087385,TRES_FAIBLE,2025-09-04T18:43:48.242737,OK,ISIN:FR0000120404->AC@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.742,2025-09-04,0.742,163963.0,122412.33,AXS,SMART,0.728,CLOSE_TICKER,,,,,0.728,3.532608695652177,TRES_FAIBLE,2025-09-04T18:43:49.571826,OK,ISIN:GB00BQQFX454->AXS@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,222.4,2025-09-04,222.4,16600.0,3688695.8,ACKB,SMART,221.4,CLOSE_TICKER,,,,,221.4,,TRES_FAIBLE,2025-09-04T18:43:50.829444,OK,ISIN:BE0003764785->ACKB@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,23.0,2025-09-04,23,32534.0,745912.75,ACOMO,SMART,22.65,CLOSE_TICKER,,,,,22.65,0.8676789587852465,TRES_FAIBLE,2025-09-04T18:43:52.049027,OK,ISIN:NL0000313286->ACOMO@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.125,2025-09-04,1.125,1681.0,1868.975,EOS,SMART,1.135,CLOSE_TICKER,,,,,1.135,,TRES_FAIBLE,2025-09-04T18:43:53.283050,OK,ISIN:FR0000076861->EOS@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-09-04,0.088,350.0,30.8,ALDV,SMART,0.088,CLOSE_TICKER,,,,,0.088,,TRES_FAIBLE,2025-09-04T18:43:54.556791,OK,ISIN:BE0974269012->ALDV@SMART,"POST_MARKET (fermeture à 17h30, il est 18:43)"
