name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_price,ibkr_status,ibkr_method,ibkr_liquidite,ibkr_spread_pct,ibkr_volume,ibkr_bid,ibkr_ask,ibkr_last,ibkr_close
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,38.5,2025-09-10,38.5,852.0,32758.9,38.5,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.1,2025-09-10,29.1,174681.0,5088652.68,29.1,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,50.44,2025-09-10,50.44,1115587.0,56269001.54,50.44,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.224,2025-09-10,1.224,64737.0,79779.6,1.224,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-09-10,0.0,0.0,0.0,,NOT_FOUND,NOT_FOUND,,,,,,,
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.94,2025-09-10,5.94,9984.0,59374.68,5.94,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.44,2025-09-10,9.44,717.0,6696.14,9.44,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.615,2025-09-10,3.615,475811.0,1738653.685,3.616,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,73.8,2025-09-10,73.8,52963.0,4019473.2,73.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.8,2025-09-10,4.8,1.0,4.8,4.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,25.34,2025-09-10,25.34,1988264.0,50449301.395,25.34,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.1,2025-09-10,6.1,68.0,414.8,1.64,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.31,2025-09-10,0.31,6328.0,1961.68,0.31,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.027,2025-09-10,0.027,247778.0,6532.0935,0.027,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCOR,FR0000120404,AC,Euronext Paris,EUR,40.59,2025-09-10,40.59,713409.0,29101548.12,40.59,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.729,2025-09-10,0.729,111442.0,81604.179,0.729,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,230.2,2025-09-10,230.2,22398.0,5150908.2,230.2,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,22.9,2025-09-10,22.9,13463.0,310144.25,22.9,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.13,2025-09-10,1.13,4159.0,4629.17,1.13,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
