name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
ACCOR,FR0000120404,AC,Euronext Paris,EUR,44.76,2025-08-22,44.76,459014.0,20494623.755,AC,SMART,42.36,HISTORICAL,,,,,42.36,2025-08-29T12:07:35.703987,OK,ISIN:FR0000120404->AC@SMART,MARKET_OPEN (12:07)
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.2,2025-08-22,1.2,2975.0,3542.78,EOS,SMART,1.15,REALTIME_MARKET,1.115,1.15,3714.0,1.15,,2025-08-29T12:07:36.318758,OK,ISIN:FR0000076861->EOS@SMART,MARKET_OPEN (12:07)
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-08-22,0.088,350.0,30.8,ALDV,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:BE0974269012->ALDV@SMART,MARKET_OPEN (12:07)
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.9,2025-08-22,8.9,428448.0,3774224.255,ADOC,SMART,8.91,HISTORICAL,,,,,8.91,2025-08-29T12:07:38.016187,OK,ISIN:FR0011184241->ADOC@SMART,MARKET_OPEN (12:07)
ADP,FR0010340141,ADP,Euronext Paris,EUR,123.4,2025-08-22,123.4,68578.0,8456331.3,ADP,SMART,111.6,HISTORICAL,,,,,111.6,2025-08-29T12:07:38.833117,OK,ISIN:FR0010340141->ADP@SMART,MARKET_OPEN (12:07)
AELIS FARMA,FR0014007ZB4,AELIS,Euronext Paris,EUR,1.3,2025-08-22,1.3,21276.0,27280.485,AELIS,SMART,1.23,REALTIME_MARKET,1.21,1.23,12084.0,1.23,,2025-08-29T12:07:39.454929,OK,ISIN:FR0014007ZB4->AELIS@SMART,MARKET_OPEN (12:07)
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,2.8,2025-08-22,2.8,8.0,22.4,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,MARKET_OPEN (12:07)
AFFLUENT MED BSAR,FR001400FL38,AFMBS,Euronext Paris,EUR,0.0005,2025-08-22,0.0005,130.0,0.06,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,MARKET_OPEN (12:07)
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR,1.605,2025-08-22,1.605,9785.0,16124.005,AFME,SMART,1.5675,REALTIME_MARKET,1.56,1.575,3455.0,1.585,,2025-08-29T12:07:42.634340,OK,ISIN:FR0013333077->AFME@SMART,MARKET_OPEN (12:07)
AIR FRANCE -KLM,FR001400J770,AF,"Euronext Paris, Amsterdam",EUR,14.93,2025-08-22,14.93,1297888.0,19192907.2175,AF,SMART,13.45,HISTORICAL,,,,,13.45,2025-08-29T12:07:43.347199,OK,ISIN:FR001400J770->AF@SMART,MARKET_OPEN (12:07)
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,183.12,2025-08-22,183.12,447873.0,82025830.79,AI,SMART,176.52,HISTORICAL,,,,,176.52,2025-08-29T12:07:44.187169,OK,ISIN:FR0000120073->AI@SMART,MARKET_OPEN (12:07)
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,180.72,2025-08-22,180.72,568267.0,102727231.46,AIR,SMART,179.26,HISTORICAL,,,,,179.26,2025-08-29T12:07:45.142620,OK,ISIN:NL0000235190->AIR@SMART,MARKET_OPEN (12:07)
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,8.2,2025-08-22,8.2,917.0,7498.4,AKW,SMART,8.02,HISTORICAL,,,,,8.02,2025-08-29T12:07:46.097179,OK,ISIN:FR0000053027->AKW@SMART,MARKET_OPEN (12:07)
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR,4.1,2025-08-22,4.1,402.0,1648.2,AAA,SMART,3.96,HISTORICAL,,,,,3.96,2025-08-29T12:07:47.111664,OK,ISIN:FR0000062465->AAA@SMART,MARKET_OPEN (12:07)
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,23.35,2025-08-22,23.35,35354.0,821574.65,CDA,SMART,22.26,HISTORICAL,,,,,22.26,2025-08-29T12:07:47.932560,OK,ISIN:FR0000053324->CDA@SMART,MARKET_OPEN (12:07)
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,21.89,2025-08-22,21.89,675856.0,14765873.95,ALO,SMART,20.36,REALTIME_MARKET,,,321050.0,20.36,,2025-08-29T12:07:48.539865,OK,ISIN:FR0010220475->ALO@SMART,MARKET_OPEN (12:07)
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,28.8,2025-08-22,28.8,567.0,16329.6,LTA,SMART,28.85,REALTIME_MARKET,28.8,28.9,28.0,,,2025-08-29T12:07:49.160826,OK,ISIN:FR0000053837->LTA@SMART,MARKET_OPEN (12:07)
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,109.4,2025-08-22,109.4,5871.0,636582.8,ALTA,SMART,102.4,HISTORICAL,,,,,102.4,2025-08-29T12:07:50.146859,OK,ISIN:FR0000033219->ALTA@SMART,MARKET_OPEN (12:07)
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,555.0,2025-08-22,555,1.0,555.0,AREIT,SMART,555.0,REALTIME_MARKET,545.0,565.0,2.0,555.0,,2025-08-29T12:07:50.761147,OK,ISIN:FR0000039216->AREIT@SMART,MARKET_OPEN (12:07)
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,69.4,2025-08-22,69.4,30263.0,2097037.475,ATE,SMART,66.7,HISTORICAL,,,,,66.7,2025-08-29T12:07:51.532495,OK,ISIN:FR0000071946->ATE@SMART,MARKET_OPEN (12:07)
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,6.2,2025-08-22,6.2,2858.0,17719.6,AMPLI,SMART,6.25,REALTIME_MARKET,6.2,6.25,864.0,6.25,,2025-08-29T12:07:52.129284,OK,ISIN:FR0012789667->AMPLI@SMART,MARKET_OPEN (12:07)
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,66.4,2025-08-22,66.4,73651.0,4831861.55,AMUN,SMART,63.05,REALTIME_MARKET,63.05,63.1,57469.0,63.05,,2025-08-29T12:07:52.748049,OK,ISIN:FR0004125920->AMUN@SMART,MARKET_OPEN (12:07)
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR,11.72,2025-08-22,11.72,50220.0,575481.3,ANTIN,SMART,11.56,HISTORICAL,,,,,11.56,2025-08-29T12:07:53.718664,OK,ISIN:FR0014005AL0->ANTIN@SMART,MARKET_OPEN (12:07)
APERAM,LU0569974404,APAM,"Euronext Amsterdam, Brussels, Paris",EUR,26.48,2025-08-22,26.48,70076.0,1850172.4,APAM,SMART,25.88,HISTORICAL,,,,,25.88,2025-08-29T12:07:54.583176,OK,ISIN:LU0569974404->APAM@SMART,MARKET_OPEN (12:07)
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR,5.56,2025-08-22,5.56,45640.0,251336.97,ARAMI,SMART,5.62,HISTORICAL,,,,,5.62,2025-08-29T12:07:55.408930,OK,ISIN:FR0014003U94->ARAMI@SMART,MARKET_OPEN (12:07)
ARCELORMITTAL SA,LU1598757687,MT,"Euronext Amsterdam, Paris",EUR,29.16,2025-08-22,29.16,1051514.0,30512804.84,MT,SMART,28.33,HISTORICAL,,,,,28.33,2025-08-29T12:07:56.224829,OK,ISIN:LU1598757687->MT@SMART,MARKET_OPEN (12:07)
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,68.8,2025-08-22,68.8,17407.0,1190615.3,ARG,SMART,64.8,REALTIME_MARKET,64.8,65.0,9313.0,64.8,,2025-08-29T12:07:56.848703,OK,ISIN:FR0010481960->ARG@SMART,MARKET_OPEN (12:07)
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,64.2,2025-08-22,64.2,136251.0,8716341.05,AKE,SMART,60.26,HISTORICAL,,,,,60.26,2025-08-29T12:07:59.774785,OK,ISIN:FR0010313833->AKE@SMART,MARKET_OPEN (12:07)
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,11.4,2025-08-22,11.4,144.0,1641.6,ARTE,SMART,11.2,HISTORICAL,,,,,11.2,2025-08-29T12:08:05.615701,OK,ISIN:FR0012185536->ARTE@SMART,MARKET_OPEN (12:07)
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,4.33,2025-08-22,4.33,4224.0,18279.52,PRC,SMART,4.23,HISTORICAL,,,,,4.23,2025-08-29T12:08:11.598306,OK,ISIN:FR0000074783->PRC@SMART,MARKET_OPEN (12:07)
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,9150.0,2025-08-22,9150,1.0,9150.0,ARTO,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR0000076952->ARTO@SMART,MARKET_OPEN (12:07)
ARVERNE GROUP,FR001400JWR8,ARVEN,Euronext Paris,EUR,5.35,2025-08-22,5.35,1288.0,6883.25,ARVEN,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR001400JWR8->ARVEN@SMART,MARKET_OPEN (12:07)
ARVERNE WARRANT,FR0014003AC4,ARVBS,Euronext Paris,EUR,0.05,2025-08-22,0.05,133110.0,6655.5,ARVBS,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR0014003AC4->ARVBS@SMART,MARKET_OPEN (12:07)
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,48.4,2025-08-22,48.4,4668.0,224962.9,ASY,SMART,45.46,HISTORICAL,,,,,45.46,2025-08-29T12:08:30.251600,OK,ISIN:FR0000074148->ASY@SMART,MARKET_OPEN (12:07)
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,6.32,2025-08-22,6.32,1409.0,8871.66,ATEME,SMART,6.36,HISTORICAL,,,,,6.36,2025-08-29T12:08:31.078290,OK,ISIN:FR0011992700->ATEME@SMART,MARKET_OPEN (12:07)
ATLAND,FR0013455482,ATLD,Euronext Paris,EUR,44.9,2025-08-22,44.9,12.0,539.5,ATLD,SMART,44.2,HISTORICAL,,,,,44.2,2025-08-29T12:08:32.021603,OK,ISIN:FR0013455482->ATLD@SMART,MARKET_OPEN (12:07)
ATOS,FR001400X2S4,ATO,Euronext Paris,EUR,43.96,2025-08-22,43.96,228338.0,9927874.7425,ATO,SMART,44.6,REALTIME_MARKET,,,128592.0,44.6,,2025-08-29T12:08:32.635609,OK,ISIN:FR001400X2S4->ATO@SMART,MARKET_OPEN (12:07)
AUBAY,FR0000063737,AUB,Euronext Paris,EUR,48.1,2025-08-22,48.1,2541.0,122168.7,AUB,SMART,46.325,REALTIME_MARKET,46.25,46.4,2354.0,46.325,,2025-08-29T12:08:33.147849,OK,ISIN:FR0000063737->AUB@SMART,MARKET_OPEN (12:07)
AUGROS COSMETIC,FR0000061780,AUGR,Euronext Paris,EUR,6.0,2025-08-22,6,30.0,180.0,AUGR,SMART,5.55,REALTIME_MARKET,,,238.0,5.55,,2025-08-29T12:08:33.662142,OK,ISIN:FR0000061780->AUGR@SMART,MARKET_OPEN (12:07)
AUREA,FR0000039232,AURE,Euronext Paris,EUR,6.1,2025-08-22,6.1,726.0,4386.24,AURE,SMART,5.82,HISTORICAL,,,,,5.82,2025-08-29T12:08:34.470880,OK,ISIN:FR0000039232->AURE@SMART,MARKET_OPEN (12:07)
AVENIR TELECOM,FR001400CFI7,AVT,Euronext Paris,EUR,0.038,2025-08-22,0.038,23563.0,881.6342,AVT,SMART,0.0362,HISTORICAL,,,,,0.0362,2025-08-29T12:08:35.302845,OK,ISIN:FR001400CFI7->AVT@SMART,MARKET_OPEN (12:07)
AXA,FR0000120628,CS,Euronext Paris,EUR,42.59,2025-08-22,42.59,3068412.0,131149144.3,CS,SMART,39.63,HISTORICAL,,,,,39.63,2025-08-29T12:08:36.268512,OK,ISIN:FR0000120628->CS@SMART,MARKET_OPEN (12:07)
AYVENS,FR0013258662,AYV,Euronext Paris,EUR,10.08,2025-08-22,10.08,444911.0,4461160.76,AYV,SMART,9.4,HISTORICAL,,,,,9.4,2025-08-29T12:08:37.259072,OK,ISIN:FR0013258662->AYV@SMART,MARKET_OPEN (12:07)
BAINS MER MONACO,MC0000031187,BAIN,Euronext Paris,EUR,105.5,2025-08-22,105.5,196.0,20686.5,BAIN,SMART,106.0,HISTORICAL,,,,,106.0,2025-08-29T12:08:38.081477,OK,ISIN:MC0000031187->BAIN@SMART,MARKET_OPEN (12:07)
BALYO,FR0013258399,BALYO,Euronext Paris,EUR,0.388,2025-08-22,0.388,20182.0,7780.477,BALYO,SMART,0.39,HISTORICAL,,,,,0.39,2025-08-29T12:08:39.049670,OK,ISIN:FR0013258399->BALYO@SMART,MARKET_OPEN (12:07)
BARBARA BUI,FR0000062788,BUI,Euronext Paris,EUR,3.82,2025-08-22,3.82,2.0,7.64,BUI,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR0000062788->BUI@SMART,MARKET_OPEN (12:07)
BASSAC,FR0004023208,BASS,Euronext Paris,EUR,58.4,2025-08-22,58.4,83.0,4835.6,BASS,SMART,56.8,HISTORICAL,,,,,56.8,2025-08-29T12:08:40.694710,OK,ISIN:FR0004023208->BASS@SMART,MARKET_OPEN (12:07)
BASTIDE LE CONFORT,FR0000035370,BLC,Euronext Paris,EUR,28.4,2025-08-22,28.4,5120.0,143746.55,BLC,SMART,26.56,HISTORICAL,,,,,26.56,2025-08-29T12:08:41.769853,OK,ISIN:FR0000035370->BLC@SMART,MARKET_OPEN (12:07)
BENETEAU,FR0000035164,BEN,Euronext Paris,EUR,8.98,2025-08-22,8.98,168893.0,1513418.195,BEN,SMART,8.4,HISTORICAL,,,,,8.4,2025-08-29T12:08:42.588843,OK,ISIN:FR0000035164->BEN@SMART,MARKET_OPEN (12:07)
BIC,FR0000120966,BB,Euronext Paris,EUR,54.9,2025-08-22,54.9,44089.0,2420006.3,BB,SMART,53.5,HISTORICAL,,,,,53.5,2025-08-29T12:08:43.409991,OK,ISIN:FR0000120966->BB@SMART,MARKET_OPEN (12:07)
BIGBEN INTERACTIVE,FR0000074072,BIG,Euronext Paris,EUR,1.7,2025-08-22,1.7,145303.0,243204.484,BIG,SMART,1.458,HISTORICAL,,,,,1.458,2025-08-29T12:08:44.361334,OK,ISIN:FR0000074072->BIG@SMART,MARKET_OPEN (12:07)
BIOMERIEUX,FR0013280286,BIM,Euronext Paris,EUR,127.4,2025-08-22,127.4,67641.0,8606898.1,BIM,SMART,118.6,REALTIME_MARKET,118.4,118.6,21574.0,118.6,,2025-08-29T12:08:44.875787,OK,ISIN:FR0013280286->BIM@SMART,MARKET_OPEN (12:07)
BIOSENIC,BE0974280126,BIOS,"Euronext Brussels, Paris",EUR,0.0026,2025-08-22,0.0026,4782913.0,12758.8843,BIOS,SMART,0.0027,HISTORICAL,,,,,0.0027,2025-08-29T12:08:45.733084,OK,ISIN:BE0974280126->BIOS@SMART,MARKET_OPEN (12:07)
BLEECKER,FR0000062150,BLEE,Euronext Paris,EUR,109.0,2025-08-22,109,20.0,2180.0,BLEE,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR0000062150->BLEE@SMART,MARKET_OPEN (12:07)
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris,EUR,83.38,2025-08-22,83.38,1233531.0,102736637.565,BNP,SMART,76.21,HISTORICAL,,,,,76.21,2025-08-29T12:08:49.320856,OK,ISIN:FR0000131104->BNP@SMART,MARKET_OPEN (12:07)
BOIRON,FR0000061129,BOI,Euronext Paris,EUR,22.6,2025-08-22,22.6,9591.0,215240.05,BOI,SMART,21.06,HISTORICAL,,,,,21.06,2025-08-29T12:08:50.143215,OK,ISIN:FR0000061129->BOI@SMART,MARKET_OPEN (12:07)
BOLLORE,FR0000039299,BOL,Euronext Paris,EUR,5.1,2025-08-22,5.1,288052.0,1468158.13,BOL,SMART,4.998,HISTORICAL,,,,,4.998,2025-08-29T12:08:54.491624,OK,ISIN:FR0000039299->BOL@SMART,MARKET_OPEN (12:07)
BONDUELLE,FR0000063935,BON,Euronext Paris,EUR,8.29,2025-08-22,8.29,13590.0,112490.43,BON,SMART,7.99,HISTORICAL,,,,,7.99,2025-08-29T12:08:55.295711,OK,ISIN:FR0000063935->BON@SMART,MARKET_OPEN (12:07)
BOURSE DIRECT,FR0000074254,BSD,Euronext Paris,EUR,4.31,2025-08-22,4.31,3816.0,16391.31,BSD,SMART,4.28,REALTIME_MARKET,4.23,4.28,4314.0,4.28,,2025-08-29T12:08:55.907586,OK,ISIN:FR0000074254->BSD@SMART,MARKET_OPEN (12:07)
BOUYGUES,FR0000120503,EN,Euronext Paris,EUR,38.71,2025-08-22,38.71,291479.0,11279767.785,EN,SMART,36.56,REALTIME_MARKET,36.54,36.56,140835.0,36.56,,2025-08-29T12:08:56.523308,OK,ISIN:FR0000120503->EN@SMART,MARKET_OPEN (12:07)
BUREAU VERITAS,FR0006174348,BVI,Euronext Paris,EUR,27.22,2025-08-22,27.22,451316.0,12254388.54,BVI,SMART,25.72,HISTORICAL,,,,,25.72,2025-08-29T12:09:00.448139,OK,ISIN:FR0006174348->BVI@SMART,MARKET_OPEN (12:07)
BURELLE,FR0000061137,BUR,Euronext Paris,EUR,404.0,2025-08-22,404,132.0,53081.0,BUR1,SMART,383.0,HISTORICAL,,,,,383.0,2025-08-29T12:09:06.248522,OK,ISIN:FR0000061137->BUR1@SMART,MARKET_OPEN (12:07)
CA TOULOUSE 31 CCI,FR0000045544,CAT31,Euronext Paris,EUR,118.82,2025-08-22,118.82,936.0,109434.56,CAT31,SMART,117.8,HISTORICAL,,,,,117.8,2025-08-29T12:09:12.315515,OK,ISIN:FR0000045544->CAT31@SMART,MARKET_OPEN (12:07)
CAMBODGE NOM.,FR001400SUB7,CBDG,Euronext Paris,EUR,98.0,2025-08-22,98,75.0,7350.0,CBDG,SMART,98.0,HISTORICAL,,,,,98.0,2025-08-29T12:09:18.345231,OK,ISIN:FR001400SUB7->CBDG@SMART,MARKET_OPEN (12:07)
CAPGEMINI,FR0000125338,CAP,Euronext Paris,EUR,126.6,2025-08-22,126.6,327189.0,41325470.175,CAP,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR0000125338->CAP@SMART,MARKET_OPEN (12:07)
CARMILA,FR0010828137,CARM,Euronext Paris,EUR,17.96,2025-08-22,17.96,86961.0,1558376.82,CARM,SMART,17.26,HISTORICAL,,,,,17.26,2025-08-29T12:09:30.249657,OK,ISIN:FR0010828137->CARM@SMART,MARKET_OPEN (12:07)
CARREFOUR,FR0000120172,CA,Euronext Paris,EUR,13.065,2025-08-22,13.065,1137145.0,14872924.8075,CA,SMART,12.326,HISTORICAL,,,,,12.326,2025-08-29T12:09:31.075327,OK,ISIN:FR0000120172->CA@SMART,MARKET_OPEN (12:07)
CASINO BSA1,FR001400OJ72,COBS1,Euronext Paris,EUR,0.0155,2025-08-22,-,,,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,MARKET_OPEN (12:07)
CASINO BSA3,FR001400OJ98,COBS3,Euronext Paris,EUR,0.0005,2025-08-22,0.0005,5424.0,2.71,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,MARKET_OPEN (12:07)
CASINO GUICHARD,FR001400OKR3,CO,Euronext Paris,EUR,0.5925,2025-08-22,0.5925,514339.0,303499.188,CO,SMART,0.5855,REALTIME_MARKET,0.585,0.5865,960511.0,0.5855,,2025-08-29T12:09:33.053906,OK,ISIN:FR001400OKR3->CO@SMART,MARKET_OPEN (12:07)
CBO TERRITORIA,FR0010193979,CBOT,Euronext Paris,EUR,3.7,2025-08-22,3.7,3683.0,13661.21,CBOT,SMART,3.63,HISTORICAL,,,,,3.63,2025-08-29T12:09:33.875048,OK,ISIN:FR0010193979->CBOT@SMART,MARKET_OPEN (12:07)
CEGEDIM,FR0000053506,CGM,Euronext Paris,EUR,10.8,2025-08-22,10.8,10632.0,115131.45,CGM,SMART,10.8,REALTIME_MARKET,10.8,10.85,2658.0,10.8,,2025-08-29T12:09:34.478898,OK,ISIN:FR0000053506->CGM@SMART,MARKET_OPEN (12:07)
CELYAD ONCOLOGY,BE0974260896,CYAD,"Euronext Brussels, Paris",EUR,0.399,2025-08-22,0.399,27846.0,10932.914,CYAD,SMART,0.301,HISTORICAL,,,,,0.301,2025-08-29T12:09:35.389595,OK,ISIN:BE0974260896->CYAD@SMART,MARKET_OPEN (12:07)
CFI,FR0000037475,CFI,Euronext Paris,EUR,1.76,2025-08-22,1.76,379.0,667.04,CFI,SMART,1.76,REALTIME_CLOSE,,,,,1.76,2025-08-29T12:09:36.075683,OK,ISIN:FR0000037475->CFI@SMART,MARKET_OPEN (12:07)
CHAUSSERIA,FR0000060907,CHSR,Euronext Paris,EUR,7.0,2025-08-22,7,2.0,14.0,CHSR1,SMART,,NO_DATA,,,,,,,NO_PRICE_DATA,ISIN:FR0000060907->CHSR1@SMART,MARKET_OPEN (12:07)
CHRISTIAN DIOR,FR0000130403,CDI,Euronext Paris,EUR,473.0,2025-08-22,473,1444.0,680896.2,CDI,SMART,492.0,HISTORICAL,,,,,492.0,2025-08-29T12:09:37.704327,OK,ISIN:FR0000130403->CDI@SMART,MARKET_OPEN (12:07)
CIECHARGEURSINVEST,FR0000130692,CRI,Euronext Paris,EUR,11.18,2025-08-22,11.18,1074.0,12021.86,CRI,SMART,10.76,HISTORICAL,,,,,10.76,2025-08-29T12:09:38.525259,OK,ISIN:FR0000130692->CRI@SMART,MARKET_OPEN (12:07)
CLARANOVA,FR0013426004,CLA,Euronext Paris,EUR,1.874,2025-08-22,1.874,79418.0,148433.896,CLA,SMART,1.706,REALTIME_MARKET,1.7,1.714,172637.0,1.706,,2025-08-29T12:09:39.127423,OK,ISIN:FR0013426004->CLA@SMART,MARKET_OPEN (12:07)
CLARIANE,FR0010386334,CLARI,Euronext Paris,EUR,4.852,2025-08-22,4.852,510837.0,2452303.561,CLARI,SMART,4.286,HISTORICAL,,,,,4.286,2025-08-29T12:09:39.943588,OK,ISIN:FR0010386334->CLARI@SMART,MARKET_OPEN (12:07)
COFACE,FR0010667147,COFA,Euronext Paris,EUR,16.78,2025-08-22,16.78,83352.0,1400821.41,COFA,SMART,16.04,HISTORICAL,,,,,16.04,2025-08-29T12:09:40.757357,OK,ISIN:FR0010667147->COFA@SMART,MARKET_OPEN (12:07)
COHERIS,FR0004031763,COH,Euronext Paris,EUR,8.36,2025-08-22,8.36,100.0,836.0,COH1,SMART,8.7,HISTORICAL,,,,,8.7,2025-08-29T12:09:41.564597,OK,ISIN:FR0004031763->COH1@SMART,MARKET_OPEN (12:07)
COMPAGNIE ODET,FR0000062234,ODET,Euronext Paris,EUR,1460.0,2025-08-22,1460,142.0,207571.0,ODET,SMART,1470.0,REALTIME_MARKET,1466.0,1472.0,353.0,1470.0,,2025-08-29T12:09:42.183928,OK,ISIN:FR0000062234->ODET@SMART,MARKET_OPEN (12:07)
COTY,US2220702037,COTY,Euronext Paris,EUR,3.3615,2025-08-22,3.3615,12872.0,42849.972,CO3A,SMART,3.6706,HISTORICAL,,,,,3.6706,2025-08-29T12:09:43.010285,OK,ISIN:US2220702037->CO3A@SMART,MARKET_OPEN (12:07)
COURTOIS,FR0000065393,COUR,Euronext Paris,EUR,121.0,2025-08-22,121,1.0,121.0,COUR,SMART,121.0,REALTIME_CLOSE,,,,,121.0,2025-08-29T12:09:43.622170,OK,ISIN:FR0000065393->COUR@SMART,MARKET_OPEN (12:07)
COVIVIO,FR0000064578,COV,Euronext Paris,EUR,59.3,2025-08-22,59.3,78240.0,4629868.75,COV,SMART,56.1,HISTORICAL,,,,,56.1,2025-08-29T12:09:45.438279,OK,ISIN:FR0000064578->COV@SMART,MARKET_OPEN (12:07)
COVIVIO HOTELS,FR0000060303,COVH,Euronext Paris,EUR,23.6,2025-08-22,23.6,167.0,3926.8,COVH,SMART,23.1,HISTORICAL,,,,,23.1,2025-08-29T12:09:46.260248,OK,ISIN:FR0000060303->COVH@SMART,MARKET_OPEN (12:07)
CRCAM ALP.PROV.CCI,FR0000044323,CRAP,Euronext Paris,EUR,153.0,2025-08-22,153,1296.0,195959.1,CRAP,SMART,146.5,REALTIME_MARKET,146.5,147.48,404.0,146.5,,2025-08-29T12:09:46.876643,OK,ISIN:FR0000044323->CRAP@SMART,MARKET_OPEN (12:07)
