name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,39.9,2025-08-22,39.9,1359.0,53987.0,AXW,SMART,39.2,REALTIME_MARKET,39.0,39.2,555.0,39.2,,2025-08-29T12:07:28.779967,OK,ISIN:FR0011040500->AXW@SMART,MARKET_OPEN (12:07)
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.29,2025-08-22,1.29,159599.0,206305.066,AB,SMART,1.206,HISTORICAL,,,,,1.206,2025-08-29T12:07:29.601731,OK,ISIN:FR0010557264->AB@SMART,MARKET_OPEN (12:07)
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-08-22,-,,,,,,,,,,,,,CONTRACT_NOT_FOUND,BLACKLISTED_ISIN:FR001400ZRT0,MARKET_OPEN (12:07)
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.05,2025-08-22,6.05,36212.0,219266.27,ABCA,SMART,5.98,REALTIME_MARKET,5.98,6.0,31216.0,5.98,,2025-08-29T12:07:30.210705,OK,ISIN:FR0004040608->ABCA@SMART,MARKET_OPEN (12:07)
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.4,2025-08-22,9.4,159.0,1503.6,ABEO,SMART,9.38,HISTORICAL,,,,,9.38,2025-08-29T12:07:31.172659,OK,ISIN:FR0013185857->ABEO@SMART,MARKET_OPEN (12:07)
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,2.1,2025-08-22,2.1,539152.0,1120419.933,ABNX,SMART,2.94,REALTIME_MARKET,2.94,2.96,1237567.0,2.94,,2025-08-29T12:07:31.788056,OK,ISIN:FR0012616852->ABNX@SMART,MARKET_OPEN (12:07)
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,66.5,2025-08-22,66.5,111888.0,7331966.2,ABVX,SMART,69.0,HISTORICAL,,,,,69.0,2025-08-29T12:07:32.558714,OK,ISIN:FR0012333284->ABVX@SMART,MARKET_OPEN (12:07)
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.48,2025-08-22,4.48,11.0,49.3,ABLD,SMART,4.5,HISTORICAL,,,,,4.5,2025-08-29T12:07:33.333100,OK,ISIN:FR001400AHX6->ABLD@SMART,MARKET_OPEN (12:07)
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.3,2025-08-22,6.3,1164.0,7327.35,ABO1,SMART,6.2,HISTORICAL,,,,,6.2,2025-08-29T12:07:34.266607,OK,ISIN:BE0974278104->ABO1@SMART,MARKET_OPEN (12:07)
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.315,2025-08-22,0.315,37136.0,11494.201,ACAN,SMART,0.314,REALTIME_MARKET,0.307,0.314,39147.0,0.314,,2025-08-29T12:07:34.882880,OK,ISIN:FR0000064602->ACAN@SMART,MARKET_OPEN (12:07)
