name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_price,ibkr_status,ibkr_method,ibkr_liquidite,ibkr_spread_pct,ibkr_volume,ibkr_bid,ibkr_ask,ibkr_last,ibkr_close
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,38.5,2025-09-09,38.5,622.0,24016.1,38.5,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.3,2025-09-09,29.3,124660.0,3665253.46,29.3,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,50.78,2025-09-09,50.78,1341427.0,67948424.48,50.68,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.206,2025-09-09,1.206,67772.0,81875.918,1.206,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-09-09,0.0,0.0,0.0,,NOT_FOUND,NOT_FOUND,,,,,,,
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.92,2025-09-09,5.92,13469.0,79980.73,5.92,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.52,2025-09-09,9.52,312.0,2976.42,9.52,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.77,2025-09-09,3.77,725704.0,2573237.355,3.77,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,76.4,2025-09-09,76.4,70774.0,5365219.05,76.4,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.8,2025-09-09,4.8,54.0,260.52,4.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
