name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_price,ibkr_status,ibkr_method,ibkr_liquidite,ibkr_spread_pct,ibkr_volume,ibkr_bid,ibkr_ask,ibkr_last,ibkr_close
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,39.0,2025-09-08,39.0,909.0,34865.5,39.0,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.54,2025-09-08,29.54,128650.0,3793924.1,29.54,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,50.64,2025-09-08,50.64,877292.0,44484197.66,50.63,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.194,2025-09-08,1.194,83106.0,99338.188,1.194,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-09-08,0.0,0.0,0.0,,NOT_FOUND,NOT_FOUND,,,,,,,
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.92,2025-09-08,5.92,33931.0,201944.84,5.92,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.6,2025-09-08,9.6,2358.0,22041.56,9.6,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.165,2025-09-08,3.165,554516.0,1854587.17,3.166,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,75.3,2025-09-08,75.3,93684.0,7143229.35,75.3,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.9,2025-09-08,4.9,103.0,504.7,4.9,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,25.47,2025-09-08,25.47,1938921.0,49226252.85,25.47,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.2,2025-09-08,6.2,4.0,24.8,1.64,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.307,2025-09-08,0.307,9408.0,2864.216,0.307,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0255,2025-09-08,0.0255,637699.0,16271.6195,0.0255,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCOR,FR0000120404,AC,Euronext Paris,EUR,41.34,2025-09-08,41.34,598980.0,24744655.78,41.34,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.751,2025-09-08,0.751,208361.0,157206.848,0.751,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,227.0,2025-09-08,227.0,21416.0,4855771.3,227.2,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,23.2,2025-09-08,23.2,46837.0,1083898.525,23.2,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.15,2025-09-08,1.15,558.0,641.7,1.15,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-09-08,0.088,350.0,30.8,0.088,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,7.72,2025-09-08,7.72,171023.0,1336060.95,7.72,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ADP,FR0010340141,ADP,Euronext Paris,EUR,112.0,2025-09-08,112.0,68515.0,7675309.8,112.0,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,1390.6,2025-09-08,1390.6,47475.0,65817679.0,1390.6,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AEDIFICA,BE0003851681,AED,"Euronext Brussels, Amsterdam",EUR,63.05,2025-09-08,63.05,46630.0,2940255.05,63.1,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AEGON,BMG0112X1056,AGN,Euronext Amsterdam,EUR,6.47,2025-09-08,6.47,4503005.0,29135794.368,6.47,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AELIS FARMA,FR0014007ZB4,AELIS,Euronext Paris,EUR,1.03,2025-09-08,1.03,11546.0,11828.21,1.03,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,2.8,2025-09-08,2.8,8.0,22.4,,NO_HIST_DATA,CACHE,,,,,,,
AFFLUENT MED BSAR,FR001400FL38,AFMBS,Euronext Paris,EUR,0.0005,2025-09-08,0.0005,18.0,0.01,1.49,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR,1.49,2025-09-08,1.49,5477.0,7981.755,1.49,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,58.7,2025-09-08,58.7,243854.0,14299488.4,58.62,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,0.969,2025-09-08,0.969,141827.0,138894.808,0.9655,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
Agility Capital H,VGG885761301,AGIL,Euronext Amsterdam,USD,3.0,2025-09-08,3.0,750.0,2250.0,,NO_HIST_DATA,CACHE,,,,,,,
AHOLD DEL,NL0011794037,AD,"Euronext Amsterdam, Brussels",EUR,34.6,2025-09-08,34.6,1354049.0,46876981.145,34.6,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AIR FRANCE -KLM,FR001400J770,AF,"Euronext Paris, Amsterdam",EUR,13.19,2025-09-08,13.19,528777.0,6964982.125,13.206,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,176.92,2025-09-08,176.92,294054.0,51882024.06,176.92,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,187.82,2025-09-08,187.82,903598.0,169082597.94,187.82,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,9.52,2025-09-08,9.52,238.0,2267.26,9.52,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,8.08,2025-09-08,8.08,1341.0,10722.04,8.08,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,61.84,2025-09-08,61.84,508666.0,31370020.2,61.84,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR,3.56,2025-09-08,3.56,347.0,1271.29,3.56,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,9.4,2025-09-08,9.4,123580.0,1165528.954,9.4,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam,EUR,5.915,2025-09-08,5.915,478711.0,2832290.615,5.916,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam,EUR,1.18,2025-09-08,1.18,200.0,236.0,1.18,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,20.5,2025-09-08,20.5,52377.0,1071798.7,20.5,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,20.31,2025-09-08,20.31,803481.0,16300640.255,20.31,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,28.6,2025-09-08,28.6,1021.0,29244.2,28.6,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,98.8,2025-09-08,98.8,4336.0,427382.3,98.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,525.0,2025-09-08,525.0,1.0,525.0,526.0,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,65.45,2025-09-08,65.45,29105.0,1898415.4,65.46,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR,1.41,2025-09-08,1.41,502.0,722.06,1.41,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AMG,NL0000888691,AMG,Euronext Amsterdam,EUR,28.52,2025-09-08,28.52,219183.0,6219035.08,28.52,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,6.2,2025-09-08,6.2,2994.0,18564.05,6.2,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,62.85,2025-09-08,62.85,112154.0,7043744.9,62.86,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR,11.24,2025-09-08,11.24,20069.0,226082.26,11.24,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
APERAM,LU0569974404,APAM,"Euronext Amsterdam, Brussels, Paris",EUR,27.06,2025-09-08,27.06,122484.0,3319670.0,27.14,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR,5.44,2025-09-08,5.44,77190.0,417039.46,5.44,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam,EUR,40.9,2025-09-08,40.9,102569.0,4180688.26,40.9,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARCELORMITTAL SA,LU1598757687,MT,"Euronext Amsterdam, Paris",EUR,29.12,2025-09-08,29.12,1666407.0,48509809.995,29.185,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,64.3,2025-09-08,64.3,7891.0,508114.8,64.3,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARGENX SE,NL0010832176,ARGX,Euronext Brussels,EUR,648.4,2025-09-08,648.4,97276.0,62773574.7,649.2,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,58.2,2025-09-08,58.2,139399.0,8091905.45,58.2,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,11.0,2025-09-08,11.0,29.0,321.7,11.0,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,4.18,2025-09-08,4.18,2458.0,9944.56,4.18,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,9000.0,2025-09-08,9000.0,3.0,27000.0,,NO_HIST_DATA,CACHE,,,,,,,
ARVERNE GROUP,FR001400JWR8,ARVEN,Euronext Paris,EUR,4.98,2025-09-08,4.98,1664.0,8216.22,4.98,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ARVERNE WARRANT,FR0014003AC4,ARVBS,Euronext Paris,EUR,0.05,2025-09-08,0.05,31000.0,1550.0,0.05,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ASCENCIO,BE0003856730,ASCE,Euronext Brussels,EUR,50.5,2025-09-08,50.5,5646.0,284626.3,50.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,EUR,422.5,2025-09-08,422.5,141412.0,59584040.55,422.5,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,EUR,676.6,2025-09-08,676.6,514335.0,346128758.3,676.6,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,EUR,57.74,2025-09-08,57.74,341587.0,19699741.3,57.74,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,44.85,2025-09-08,44.85,6038.0,270501.1,44.86,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,5.58,2025-09-08,5.58,8337.0,47250.16,5.58,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ATENOR,BE0003837540,ATEB,Euronext Brussels,EUR,3.04,2025-09-08,3.04,12164.0,37782.75,3.1,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
