symbol_1,symbol_2,correlation
AFMBS,URW,1.0000000000003553
CABLE,URW,1.000000000000349
MC,TFG,1.0000000000002665
CRSU,TFG,1.0000000000001246
AFMBS,DIE,1.0000000000000946
CGM,JDEP,1.0000000000000888
AFMBS,GBT,1.0000000000000888
CGM,SHELL,1.0000000000000888
AFMBS,WHA,1.0000000000000888
BNJ,CGM,1.0000000000000888
CABLE,DIE,1.0000000000000884
CABLE,GBT,1.0000000000000826
CABLE,WHA,1.0000000000000826
COBS3,MAU,1.000000000000074
AVTRI,MAU,1.0000000000000737
SHUR,TFG,1.000000000000071
AFMBS,TKWY,1.0000000000000593
AFMBS,BOL,1.0000000000000553
AFMBS,MEMS,1.0000000000000553
CABLE,TKWY,1.0000000000000528
CABLE,MEMS,1.0000000000000493
ECT,PHXM,1.0000000000000444
AFMBS,NOKIA,1.0000000000000369
AF,CABLE,1.000000000000036
AFMBS,DSFIR,1.0000000000000355
AFMBS,VCT,1.0000000000000355
FORE,SPEL,1.000000000000033
TFG,XIOR,1.0000000000000326
CABLE,NOKIA,1.0000000000000309
AFMBS,FAGR,1.0000000000000295
AF,AFMBS,1.0000000000000295
AFMBS,BLC,1.0000000000000295
COBS3,COFA,1.0000000000000295
CDA,COBS3,1.0000000000000295
CABLE,DSFIR,1.0000000000000293
CABLE,VCT,1.0000000000000293
AVTRI,COFA,1.000000000000029
CTPNV,TFG,1.0000000000000266
CPINV,TFG,1.0000000000000266
AYV,CABLE,1.0000000000000249
AFMBS,CCEP,1.0000000000000235
CABLE,FAGR,1.0000000000000233
TFG,THEP,1.0000000000000233
COBS3,ENVI,1.0000000000000222
AFMBS,CBOT,1.0000000000000222
AFMBS,ARVEN,1.0000000000000222
AFMBS,OSE,1.0000000000000222
COBS3,JDEP,1.0000000000000222
AFMBS,JEN,1.0000000000000222
AFMBS,VRAP,1.0000000000000222
AVTRI,JDEP,1.000000000000022
AVTRI,ENVI,1.000000000000022
AVTRI,BANQ,1.000000000000022
TFG,VACBS,1.0000000000000213
AFMBS,TFI,1.000000000000021
CGM,XIOR,1.0000000000000198
TFG,VLA,1.0000000000000195
BN,COBS3,1.0000000000000195
CGM,SYENS,1.0000000000000187
AFMBS,DBG,1.0000000000000184
SW,TFG,1.0000000000000178
TFG,VK,1.0000000000000178
TFG,UNA,1.0000000000000178
TFG,TOM2,1.0000000000000178
TFG,VAC,1.0000000000000178
ARTO,TKTT,1.0000000000000178
COBS3,ECMPA,1.0000000000000178
COBS3,ITP,1.0000000000000178
AFMBS,KOF,1.0000000000000178
TFG,TRIO,1.0000000000000178
TFG,VANTI,1.0000000000000178
TFG,TTE,1.0000000000000178
TFG,VIL,1.0000000000000178
TFG,VRLA,1.0000000000000178
TFG,WHATS,1.0000000000000178
AZRN,CABLE,1.0000000000000173
AVTRI,ECMPA,1.0000000000000173
CABLE,CCEP,1.0000000000000173
AVTRI,ITP,1.0000000000000173
TFG,XIL,1.0000000000000167
CABLE,OSE,1.0000000000000162
CABLE,JEN,1.0000000000000162
CABLE,VRAP,1.0000000000000162
CABLE,CBOT,1.0000000000000162
TFG,VMX,1.0000000000000158
AFMBS,GTT,1.0000000000000158
TFG,VIRI,1.0000000000000153
AI,CABLE,1.0000000000000153
AJAX,AVTRI,1.0000000000000153
AFMBS,MMT,1.0000000000000149
AFMBS,SBT,1.0000000000000149
AFMBS,ENX,1.0000000000000149
COBS3,TEP,1.0000000000000149
CABLE,TFI,1.0000000000000149
COBS3,XIOR,1.0000000000000149
TFG,VETO,1.0000000000000147
AJAX,COBS3,1.0000000000000147
AFMBS,CHSR,1.0000000000000144
BVI,CABLE,1.0000000000000144
AVTRI,TEP,1.0000000000000142
AVTRI,XIOR,1.0000000000000142
ALTA,CABLE,1.000000000000014
ASY,CABLE,1.000000000000014
TFG,WLN,1.0000000000000135
AKZA,CGM,1.0000000000000135
COBS3,IMMO,1.0000000000000127
COBS3,ECONB,1.0000000000000124
AVTRI,IMMO,1.0000000000000122
CABLE,DBG,1.0000000000000122
AFMBS,MELE,1.0000000000000122
AVTRI,ECONB,1.000000000000012
CDA,TFG,1.0000000000000118
CGM,EXO,1.0000000000000118
AFMBS,NRO,1.0000000000000118
CABLE,KOF,1.0000000000000115
BB,CABLE,1.0000000000000113
AFMBS,VIO,1.000000000000011
AJAX,AZRNW,1.000000000000011
AJAX,CV,1.000000000000011
CGM,CTAC,1.000000000000011
AJAX,ARTO,1.000000000000011
AFMBS,AUGR,1.000000000000011
CGM,UCB,1.0000000000000107
ABLD,CABLE,1.0000000000000107
CA,COBS3,1.0000000000000104
AFMBS,EC,1.0000000000000102
ARAMI,CABLE,1.0000000000000102
AIR,CABLE,1.00000000000001
TFG,UBI,1.0000000000000095
CABLE,GTT,1.0000000000000095
AFMBS,AKW,1.0000000000000089
COBS3,EQS,1.0000000000000089
COBS3,GLPG,1.0000000000000089
CGM,VASTB,1.0000000000000089
CGM,TEXF,1.0000000000000089
AFMBS,WEHB,1.0000000000000089
COBS3,RBO,1.0000000000000089
CABLE,ENX,1.0000000000000089
CGM,CVC,1.0000000000000089
REINA,SGRO,1.0000000000000087
CABKA,CABLE,1.0000000000000087
AVTRI,EQS,1.0000000000000084
CABLE,SBT,1.0000000000000084
AVTRI,GLPG,1.0000000000000084
AVTRI,RBO,1.0000000000000084
CABLE,MMT,1.0000000000000084
CABLE,CHSR,1.0000000000000082
AFMBS,BFIT,1.000000000000008
AFMBS,FII,1.0000000000000078
AGS,CGM,1.0000000000000078
AMPLI,AVTRI,1.0000000000000078
AMPLI,FORE,1.0000000000000075
AMPLI,COBS3,1.0000000000000073
COBS3,SESG,1.0000000000000073
CGM,CTPNV,1.0000000000000073
AFMBS,VIV,1.0000000000000073
AFMBS,VAN,1.0000000000000073
AVTRI,SESG,1.000000000000007
AFMBS,CNDF,1.000000000000007
AFMBS,MRN,1.0000000000000069
COBS3,RI,1.0000000000000069
TFG,VTR,1.0000000000000067
CGM,TOM2,1.0000000000000067
TFG,TNG,1.0000000000000067
AFMBS,AUB,1.0000000000000067
ARG,CABLE,1.0000000000000064
AXS,CABLE,1.0000000000000064
