,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
VIL,17.1,17.05,17.1,17.083333333333336,0.0,0.41411906119807457,9.372020477076084e-16,3.0
VIO,6.36,6.36,6.57,6.465,-3.1963470319634695,,0.0,2.0
VIRI,60.5,54.55,60.5,56.73,9.720710917664126,8.469320565936314,2.6799999999999957,3.0
VIRP,324.5,324.5,337.0,332.5,-3.7091988130563793,2.2103331673111706,-6.2500000000000036,3.0
VIV,2.966,2.966,3.085,3.0363333333333333,-3.008502289077817,3.351901394501343,-0.04599999999999984,3.0
VK,14.835,14.835,15.4125,15.207500000000001,-3.7469586374695787,2.3114515420378434,-0.28875000000000123,3.0
VLA,3.828,3.828,3.872,3.844,-1.1363636363636374,0.6566714832444667,-0.02199999999999998,3.0
VLK,49.65,49.65,53.5,51.575,-7.1962616822429935,,0.0,2.0
VLTSA,6.56,6.56,7.0,6.7875000000000005,-3.564865858140398,6.497645680180315,-0.12125000000000087,3.0
VMX,0.192,0.192,0.202,0.19833333333333333,-4.4776119402985115,3.8523230382361633,-0.004500000000000017,3.0
VPK,41.08,41.08,41.14,41.11,-0.1458434613514883,,0.0,2.0
VRAP,12.75,12.75,13.0,12.916666666666666,-1.9230769230769231,1.3598207330510559,-0.12499999999999972,3.0
VRLA,23.9,23.9,24.94,24.566666666666663,-4.170008019246201,2.503762760545985,-0.5199999999999994,3.0
VTA,6.92,6.92,6.92,6.92,0.0,,0.0,2.0
VTR,5.9,5.9,5.9,5.900000000000001,0.0,0.0,-2.413357595833696e-16,3.0
VU,198.6,198.6,214.8,209.26666666666668,-7.369402985074632,5.4648511449369,-7.900000000000036,3.0
VVY,1.706,1.61,1.706,1.658,5.962732919254649,,0.0,2.0
WAGA,21.5,21.44,21.5,21.463333333333335,0.2798507462686507,0.1318460287869021,0.029999999999998705,3.0
WAVE,47.3,47.3,49.3,48.580000000000005,-3.7444037444037512,3.0988215458013046,-0.9200000000000034,3.0
WDP,21.28,21.28,22.06,21.67,-3.535811423390742,,0.0,2.0
WEB,38.0,38.0,39.2,38.6,-3.0612244897959253,,0.0,2.0
WEHB,54.2,54.2,54.6,54.400000000000006,-0.73260073260073,,0.0,2.0
WHA,18.5,18.44,18.5,18.47,0.3253796095444616,,0.0,2.0
WHATS,115.5,115.5,117.5,116.5,-1.702127659574468,,0.0,2.0
WKL,104.4,104.4,109.3,106.85,-4.4830741079597365,,0.0,2.0
WLN,2.687,2.687,2.889,2.8203333333333327,-6.863084922010397,5.042157095436715,-0.09899999999999999,3.0
XFAB,6.405,6.405,7.125,6.826666666666667,-7.841726618705034,8.925984805451389,-0.2724999999999993,3.0
XIL,3.57,3.57,3.98,3.8166666666666664,-10.301507537688446,4.561891062235596,-0.20500000000000046,3.0
XIOR,29.55,29.55,30.45,30.0,-2.9556650246305374,,0.0,2.0
ZEN,206.0,206.0,206.0,206.0,0.0,,0.0,2.0
