extraction_date,74SW,AAA,AB,ABBS,ABCA,ABEO,ABLD,ABNX,ABO,ABVX,AC,ACA,ACAN,ADOC,ADP,AELIS,AF,AFMBS,AFME,AI,AIR,AKE,AKOM,AKW,ALDV,ALO,ALTA,AM,AMPLI,AMUN,ANTIN,APAM,ARAMI,AREIT,ARG,ARTE,ARTO,ARVBS,ARVEN,ASY,ATE,ATEME,ATLD,ATO,AUB,AUGR,AURE,AVT,AYV,BAIN,BALYO,BASS,BB,BEN,BIG,BIM,BIOS,BLC,BLEE,BN,BNP,BOI,BOL,BON,BSD,BUI,BUR,BVI,CA,CAF,CAP,CARM,CAT31,CBDG,CBE,CBOT,CBR,CBSM,CCN,CDA,CDI,CEN,CFI,CGM,CHSR,CIV,CLA,CLARI,CMO,CNDF,CO,COBS1,COBS3,COFA,COH,COTY,COUR,COV,COVH,CRAP,CRAV,CRBP2,CRI,CRLA,CRLO,CROS,CRSU,CRTO,CS,CV,CYAD,DBG,DBV,DEC,DEEZR,DEEZW,DG,DIM,DKUPL,DPAM,DPT,DSY,EAPI,EC,EDEN,EDI,EEM,EFG,EFI,EGR,EIFF,EKI,EL,ELEC,ELIOR,ELIS,EMEIS,EN,ENGI,ENX,EOS,EQS,ERA,ERF,ES,ETL,EXA,EXE,EXENS,EXPL,FCMC,FDE,FDJU,FGA,FGR,FII,FINM,FIPP,FLY,FMONC,FNAC,FOAF,FORE,FORSE,FPG,FR,FREY,FRVIA,FSDV,GAM,GBT,GDS,GEA,GET,GFC,GJAJ,GLE,GLO,GNFT,GNRO,GPE,GRVO,GTT,GUI,HCO,HDF,HDP,HO,IAM,ICAD,IDIP,IDL,IMDA,INEA,INF,INFE,IPH,IPN,IPS,ITP,ITXT,IVA,JBOG,JCQ,KER,KOF,LACR,LAT,LBIRD,LEBL,LHYFE,LI,LIN,LNA,LOCAL,LOUP,LPE,LR,LSS,LTA,MAAT,MALT,MAU,MBWS,MC,MDM,MEDCL,MEMS,MERY,MF,MHM,ML,MMB,MMT,MONT,MRN,MT,MTU,NACON,NANO,NEX,NK,NOKIA,NR21,NRG,NRO,NXI,ODET,ONWD,OPM,OR,ORA,OREGE,ORIA,OSE,OVH,PAR,PARP,PARRO,PAT,PERR,PEUG,PHXM,PIG,PLNW,PLX,POXEL,PRC,PROAC,PSAT,PUB,PVL,QDT,RBO,RBT,RCO,RF,RI,RMS,RNO,RUI,RXL,S30,SABE,SACI,SAF,SAMS,SAN,SAVE,SBT,SCHP,SCR,SDG,SEC,SEFER,SELER,SESG,SFCA,SFPI,SGO,SGRO,SIGHT,SK,SLCO,SMCP,SOI,SOLB,SOP,SPEL,SPIE,SRP,STF,STLAP,STMPA,SU,SW,SWP,TAYN,TE,TEP,TERBS,TFF,TFI,THEP,TITC,TKO,TKTT,TNG,TRACT,TRI,TTE,TVRB,UBI,URW,VAC,VACBS,VACBT,VANTI,VCT,VETO,VIE,VIL,VIRI,VIRP,VIV,VK,VKBS,VLA,VLTSA,VMX,VRAP,VRLA,VTR,VU,WAGA,WAVE,WLN,XFAB,XIL,YOUNI,YOUNW
2025-08-28,38.8,4.05,1.218,,5.93,9.12,4.48,2.315,6.3,68.8,42.93,15.56,0.31,7.62,113.3,1.225,13.685,,1.595,178.06,178.26,61.4,,8.1,0.088,20.47,102.8,272.4,6.2,63.75,11.5,26.0,5.63,555.0,65.0,11.2,9150.0,0.05,5.1,46.1,66.8,5.98,44.3,45.165,46.0,5.55,5.92,0.036,9.83,105.5,0.388,57.8,53.8,8.535,1.46,119.0,0.0028,26.4,109.0,71.72,76.53,21.15,5.025,8.09,4.27,3.82,380.0,26.06,12.36,97.0,124.05,17.24,118.98,98.5,700.0,3.62,96.0,9.0,128.2,22.25,482.0,62.4,1.76,10.65,7.0,112.0,1.782,4.406,107.0,23.175,0.614,,,16.11,8.5,3.561,121.0,56.3,23.0,139.0,140.38,26.1,10.7,85.0,101.0,10.7,220.0,123.0,39.92,0.33,0.33,5.92,1.582,14.93,1.185,,115.7,174.5,28.2,935.0,0.0996,26.84,3.08,184.0,24.9,10.7,3.4,1.9,0.192,0.33,4.89,3.21,266.5,154.5,2.532,23.48,12.77,36.68,17.86,142.6,1.145,46.35,50.5,65.16,98.0,3.12,108.4,39.8,39.35,193.0,1500.0,28.8,27.8,10.05,109.75,43.3,0.19,0.125,73.6,114.0,29.1,13.5,765.0,0.399,0.11,10.425,29.4,11.08,16.0,81.0,21.1,10.0,86.5,16.29,83.98,1.17,52.0,31.05,3.528,0.0314,60.0,21.0,156.8,5.42,4.75,4.94,2.0,227.2,11.4,20.88,79.2,405.5,54.0,33.0,40.8,,1.844,116.8,37.1,31.58,2.5,4.63,3.96,20.15,229.5,29.15,8.42,0.013,16.55,0.38,3.18,33.54,63.0,30.4,4.44,89.7,92.0,129.75,22.85,28.9,5.04,895.0,5.055,2.91,502.0,1.988,17.34,3.755,10.94,83.1,0.39,31.15,20.3,12.96,68.4,24.15,28.37,19.22,0.788,7.74,129.8,21.94,3.71,40.0,7.24,41.5,9.535,1480.0,5.07,13.38,401.25,13.86,0.323,172.0,6.11,10.39,37.7,19.0,8.44,24.5,83.8,78.2,0.1005,2.59,18.18,17.6,0.3125,4.14,0.056,4.72,79.0,1.275,16.04,33.2,822.0,54.1,55.1,99.04,2119.0,32.69,28.18,27.08,1.794,19.4,26.6,287.2,144.0,86.54,62.0,9.5,92.1,27.94,33.2,2.52,6.22,82.0,5.95,1.96,2.3,93.44,7.15,0.164,63.65,0.29,6.46,36.46,28.04,160.8,9.85,47.62,0.514,137.6,8.173,23.25,211.45,50.8,35.0,3.0,39.74,68.88,0.001,16.7,8.33,76.9,37.5,19.56,16.35,0.972,0.95,151.5,53.21,57.5,9.088,88.3,1.612,0.044,,0.134,60.2,75.4,28.34,16.55,54.65,338.5,3.138,15.375,,3.774,6.83,0.202,13.15,25.5,5.9,215.8,21.45,49.55,2.869,7.03,3.68,,
2025-08-29,39.2,3.96,1.206,,5.98,9.38,4.5,2.94,6.2,69.0,42.36,15.51,0.314,8.91,111.6,1.23,13.45,,1.5675,176.52,179.26,60.26,,8.02,,20.36,102.4,273.6,6.25,63.05,11.56,25.88,5.62,555.0,64.8,11.2,,,,45.46,66.7,6.36,44.2,44.6,46.325,5.55,5.82,0.0362,9.4,106.0,0.39,56.8,53.5,8.4,1.458,118.6,0.0027,26.56,,,76.21,21.06,4.998,7.99,4.28,,383.0,25.72,12.326,102.5,,17.26,117.8,98.0,700.0,3.63,,8.96,132.0,22.26,492.0,62.2,1.76,10.8,,118.84,1.706,4.286,111.98,23.81,0.5855,,,16.04,8.7,3.6706,121.0,56.1,23.1,146.5,150.2,26.964,10.76,89.88,101.0,,228.2,124.58,39.63,0.33,0.301,5.986,1.59,14.78,1.18,,115.66,175.325,28.5,906.0,0.1,27.01,3.002,183.0,24.59,,3.16,1.89,0.192,,4.89,3.31,260.6,154.6,2.506,23.46,12.27,36.56,17.586,141.2,1.15,45.625,51.36,64.18,99.5,3.116,118.4,40.1,39.9,192.6,1510.0,29.26,27.62,,105.55,45.14,,0.113,74.0,116.0,29.7,13.5,,0.394,0.11,10.256,29.6,11.3,15.5,79.0,20.7,10.0,86.0,16.17,83.76,1.17,51.96,30.8,3.472,0.031,60.2,20.5,159.1,5.54,4.71,4.92,2.12,227.35,11.2,20.78,78.6,415.5,54.2,32.7,41.7,,1.85,116.6,35.86,32.02,,4.8,3.94,19.44,233.05,28.76,8.02,0.0131,16.64,0.38,3.18,33.26,62.0,30.3,4.5,90.7,92.5,131.2,23.475,28.85,4.61,,5.125,2.98,512.3,1.98,17.17,4.0,10.94,82.26,0.375,30.91,20.56,13.18,68.5,23.9,28.33,18.98,0.78,7.814999999999999,131.05,21.92,3.634,,7.16,40.8,8.87,1470.0,5.26,13.76,400.8,13.7975,0.322,172.0,6.23,10.38,37.2,19.4,8.26,24.4,83.8,77.30000000000001,,,18.52,17.44,,4.23,0.0605,4.76,78.7,1.47,16.06,32.8,831.5,54.1,55.86,99.01,2114.0,33.54,28.16,27.76,1.708,19.4,26.6,287.6,144.6,84.6,62.0,9.52,92.4,27.9,33.2,2.44,6.42,82.0,5.876,1.89,2.36,92.86,7.3,0.164,63.0,,6.47,35.85,27.92,,,47.8,0.486,139.2,8.1395,23.336,211.3,51.45,35.56,2.5,39.7,66.3,0.003,16.9,8.46,77.1,37.3,19.46,16.3,1.17,0.95,150.8,53.395,54.0,9.501,88.74,1.578,0.044,,0.134,,75.2,28.06,17.1,55.14,337.0,3.058,15.4125,,3.872,6.8025,0.201,13.0,24.94,5.9,214.4,21.44,49.14,2.885,6.95,3.98,,
