,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
74SW,39.3,38.8,39.3,39.1,1.288659793814433,0.5485916801231858,0.24999999999999667,3.0
AAA,3.96,3.96,4.05,3.9899999999999998,-2.2222222222222188,1.5713484026367668,-0.045,3.0
AALB,30.22,30.22,30.22,30.22,0.0,0.0,0.0,1.0
AB,1.196,1.196,1.218,1.2066666666666668,-1.8062397372742216,0.11033289644277201,-0.0110000000000001,3.0
ABCA,5.955,5.93,5.98,5.955000000000001,0.4215851602023669,0.8918246540906071,0.012500000000000013,3.0
ABEO,9.2,9.12,9.38,9.233333333333333,0.8771929824561412,3.3727959239909544,0.03999999999999946,3.0
ABI,53.46,53.46,53.46,53.46,0.0,0.0,0.0,1.0
ABLD,4.6,4.48,4.6,4.526666666666666,2.6785714285714106,1.2556757324642098,0.05999999999999996,3.0
ABN,24.6,24.6,24.6,24.6,0.0,0.0,0.0,1.0
ABNX,3.436,2.315,3.436,2.897,48.42332613390929,7.160935337427292,0.5604999999999999,3.0
ABO,6.2,6.2,6.3,6.233333333333333,-1.5873015873015817,1.1223917161691193,-0.05000000000000089,3.0
ABVX,68.8,68.8,69.0,68.86666666666667,0.0,0.4105127841570075,3.0164079164747818e-15,3.0
AC,42.38,42.36,42.93,42.556666666666665,-1.2811553692056772,0.9722415531307408,-0.27499999999999897,3.0
ACA,15.625,15.51,15.625,15.565,0.4177377892030816,0.7515087633425747,0.03249999999999798,3.0
ACAN,0.312,0.31,0.314,0.312,0.6451612903225813,1.3627823315245173,0.0010000000000000028,3.0
ACCB,0.0275,0.0275,0.0275,0.0275,0.0,0.0,0.0,1.0
ACKB,222.4,222.4,222.4,222.4,0.0,0.0,0.0,1.0
ACOMO,21.9,21.9,21.9,21.9,0.0,0.0,0.0,1.0
AD,34.33,34.33,34.33,34.33,0.0,0.0,0.0,1.0
ADOC,8.36,7.62,8.91,8.296666666666667,9.711286089238836,16.335562024786913,0.3699999999999985,3.0
