symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
74SW,38.8,39.0,39.3,38.8,39.057142857142864,-0.5128205128205201,0.6613490928797336,0.014285714285714457,7
AAA,4.05,3.56,4.05,3.56,3.8442857142857148,13.764044943820217,2.0033861697401316,0.08107142857142854,7
AALB,30.22,29.54,30.32,28.62,29.604000000000003,2.301963439404197,3.656537797593916,0.23599999999999885,5
AB,1.218,1.194,1.23,1.194,1.2062857142857142,2.010050251256283,1.6732647498275681,0.002071428571428665,7
ABCA,5.93,5.92,6.03,5.85,5.945,0.16891891891891533,1.7976242102356774,0.0012500000000000267,7
ABEO,9.12,9.6,9.6,9.12,9.274285714285714,-5.000000000000004,2.091956606860746,-0.04071428571428497,7
ABI,53.46,50.63,53.76,50.63,52.102,5.589571400355517,2.2909724179353494,0.813999999999996,5
ABLD,4.48,4.9,4.9,4.48,4.654285714285714,-8.57142857142857,2.846469521146509,-0.07357142857142848,7
ABN,24.6,25.47,25.47,24.56,24.95,-3.4157832744405083,1.1894543791587835,-0.22200000000000136,5
ABNX,2.315,3.166,3.67,2.315,3.1352857142857147,-26.879343019583068,17.76741596532783,-0.14721428571428552,7
ABO,6.3,1.64,6.3,1.64,4.918571428571428,284.1463414634147,114.69393643275956,0.8232142857142857,7
ABVX,68.8,75.3,76.5,68.7,71.22857142857143,-8.632138114209829,3.102703461018341,-1.3285714285714278,7
AC,42.93,41.34,42.93,40.85,41.93571428571429,3.8461538461538365,2.1714467244780598,0.3285714285714303,7
ACA,15.56,15.94,15.94,15.51,15.647142857142857,-2.3839397741530677,0.9845136731022665,-0.04964285714285664,7
ACAN,0.31,0.307,0.315,0.302,0.3101428571428571,0.9771986970684049,1.7857276402631783,0.0012142857142857179,7
ACCB,0.0275,0.0255,0.0275,0.0255,0.0263,7.843137254901968,3.5117459491247836,0.0003499999999999999,5
ACKB,222.4,227.2,227.2,221.4,223.6,-2.112676056338021,1.0101757923512897,-1.020000000000019,5
ACOMO,21.9,23.2,23.2,21.9,22.582,-5.603448275862073,0.8319511241215091,-0.35600000000000226,5
AD,34.33,34.6,34.76,34.21,34.42999999999999,-0.7803468208092575,0.9376743449150364,-0.10500000000000546,5
ADOC,7.62,7.72,8.91,7.62,8.229999999999999,-1.2953367875647623,8.339370847697056,0.05821428571428647,7
ADP,113.3,112.0,113.3,110.8,112.14285714285714,1.1607142857142831,1.3134441105289405,0.17857142857143052,7
ADYEN,1433.0,1390.6,1442.6,1386.4,1409.4,3.049043578311527,1.867731480688314,14.099999999999863,5
AED,65.7,63.1,65.7,62.7,64.03,4.120443740095089,1.2241609263428985,0.7549999999999961,5
AELIS,1.225,1.03,1.275,1.016,1.1418333333333335,18.932038834951463,8.961527660155731,0.051914285714285704,6
AF,13.685,13.206,13.685,12.785,13.341714285714287,3.627139179160995,3.307465407384471,0.09499999999999957,7
AFMBS,1.45,1.49,1.49,1.45,1.47,-2.684563758389264,0.0,-0.04000000000000024,2
AFME,1.595,1.49,1.62,1.45,1.5317857142857145,7.046979865771812,3.616009362883127,0.02500000000000001,7
AGFB,1.077,0.9655,1.098,0.9655,1.0259,11.548420507509055,4.835427578742968,0.03339999999999987,5
AGN,6.722,6.47,6.736,6.47,6.5896,3.8948995363214944,1.4166284765748887,0.07639999999999995,5
AGS,60.2,58.62,60.65,58.4,59.284000000000006,2.695325827362684,1.980189816742861,0.5409999999999943,5
AI,178.06,176.92,178.06,175.38,176.66571428571427,0.6443590323310054,0.7168972414873951,0.23571428571429243,7
AIR,178.26,187.82,187.82,178.26,181.67714285714285,-5.089979767862849,1.5211371765807968,-1.5464285714285562,7
AJAX,9.6,9.52,9.62,9.52,9.58,0.8403361344537823,0.3822842842884538,0.019999999999999574,5
AKE,61.4,58.2,61.4,57.36,59.68142857142857,5.498281786941573,2.331236806582627,0.6124999999999992,7
AKW,8.1,8.08,8.1,7.88,8.01,0.24752475247524225,1.1344002622276719,0.009642857142857321,7
AKZA,59.06,61.84,61.84,59.0,59.916,-4.495472186287194,1.4297404853786106,-0.6600000000000072,5
ALDV,0.088,0.088,0.088,0.088,0.088,0.0,0.0,-3.804126491336917e-18,5
ALFEN,10.0,9.4,10.0,9.4,9.616800000000001,6.382978723404251,1.5974436484472567,0.1506000000000002,5
ALLFG,6.016,5.916,6.105,5.905,5.9756,1.6903313049357611,2.099407467470873,0.03689999999999899,5
ALO,20.47,20.31,20.58,19.465,20.243571428571425,0.7877892663712465,2.794822627902289,0.08053571428571413,7
ALTA,102.8,98.8,102.8,97.5,100.45714285714284,4.048582995951417,2.0031366497874914,0.9035714285714317,7
ALX,1.42,1.41,1.45,1.41,1.426,0.7092198581560291,1.6440570891909454,0.000999999999999805,5
AM,272.4,271.2,273.6,269.2,271.1714285714285,0.4424778761061905,0.695594276114529,0.47142857142855626,7
AMG,26.3,28.52,28.52,26.3,27.356000000000005,-7.784011220196349,1.4010113517677394,-0.5940000000000036,5
AMPLI,6.2,6.2,6.26,6.2,6.224285714285714,0.0,0.83152575429266,0.001428571428571995,7
AMUN,63.75,62.86,63.75,62.2,63.01142857142857,1.4158447343302587,1.190974982123222,0.16749999999999893,7
AMUND,1.1,1.18,1.18,1.08,1.134,-6.77966101694914,3.1287844215964937,-0.026000000000000086,5
ANTIN,11.5,11.24,11.66,11.04,11.394285714285715,2.313167259786475,2.069830070400381,0.07214285714285726,7
APAM,26.0,27.14,27.14,25.88,26.304285714285715,-4.200442151805455,1.5066963604494006,-0.21107142857142874,7
ARAMI,5.63,5.44,5.63,5.33,5.508571428571429,3.4926470588235197,1.5164074355192996,0.04464285714285728,7
ARCAD,39.6,40.9,40.9,39.12,39.908,-3.178484107579455,2.1381560786822496,-0.24800000000000366,5
AREIT,555.0,526.0,556.0,526.0,545.4285714285714,5.513307984790875,1.518793943723947,5.571428571428587,7
ARG,65.0,64.3,65.0,63.5,64.43571428571428,1.0886469673405956,1.0706179991752545,0.201785714285714,7
ARGX,603.6,649.2,649.2,602.6,621.12,-7.024029574861371,2.0061653300428333,-12.840000000000046,5
ARTE,11.2,11.0,11.2,11.0,11.157142857142858,1.818181818181812,0.9336756887576357,0.025000000000000317,7
ARTO,9150.0,9000.0,9150.0,9000.0,9075.0,1.6666666666666667,0.9622504486493729,59.999999999998046,4
ARVBS,0.05,0.05,0.05,0.05,0.05,0.0,0.0,-5.002875531882127e-18,4
ARVEN,5.1,4.98,5.26,4.96,5.086666666666667,2.4096385542168517,3.3406517100674957,0.05142857142857118,6
ASCE,49.96,50.8,50.8,49.96,50.152,-1.6535433070866068,0.7749863641861019,-0.16800000000000398,5
ASM,414.0,422.5,426.4,401.7,416.06000000000006,-2.0118343195266273,4.451371945615732,-0.630000000000029,5
ASML,637.1,676.6,676.6,625.3,650.7,-5.838013597398758,4.247097128443637,-8.490000000000041,5
ASRNL,59.34,57.74,59.66,57.74,58.636,2.771042604780051,1.1284113013517354,0.5119999999999911,5
ASY,46.1,44.86,46.1,43.9,44.99571428571428,2.764155149353549,2.1655714858333317,0.23714285714285863,7
ATE,66.8,65.46,67.25,63.45,65.68857142857144,2.0470516345860124,3.016556909861241,0.40535714285714713,7
ATEB,3.27,3.1,3.27,3.1,3.216,5.483870967741932,1.54982097662318,0.03799999999999948,5
ATEME,5.98,5.58,6.46,5.58,6.097142857142858,7.1684587813620135,5.446189188977762,0.07928571428571454,7
ATLD,44.3,44.3,44.3,44.2,44.25714285714286,0.0,0.2021307397313857,-0.007142857142858661,7
ATO,45.165,41.146,45.165,37.6,42.585857142857144,9.767656637340199,8.970730203727706,0.8995357142857129,7
AUB,46.0,43.3,46.325,42.76,44.74785714285714,6.235565819861439,3.2731273175314666,0.6350000000000042,7
AUGR,5.55,5.6,5.6,5.54,5.557142857142857,-0.8928571428571397,0.30804157357936074,-0.006428571428571216,7
AURE,5.92,5.78,5.92,5.72,5.822857142857144,2.4221453287197177,1.8769345753591191,0.012857142857142907,7
AVT,0.036,0.0358,0.0376,0.035,0.035942857142857144,0.5586592178770916,3.2322991574074615,0.00018571428571428715,7
AVTRI,2.5304,1.924,2.5304,1.924,2.2272,31.51767151767153,0.0,0.6063999999999998,2
AVTX,13.88,9.02,13.954,9.02,11.979200000000002,53.880266075388036,19.43429094623504,1.2762000000000002,5
AXS,0.732,0.751,0.751,0.708,0.7316,-2.529960053262319,2.7272779261181563,-0.006900000000000088,5
AYV,9.83,9.314,9.83,9.185,9.452142857142858,5.540047240712905,3.3227827222416235,0.0748571428571427,7
AZE,12.81,12.57,12.97,12.34,12.645,1.90930787589499,3.1115884317431575,0.09150000000000102,5
AZRN,1.376,1.39,1.39,1.35,1.3691999999999998,-1.0071942446043174,1.7047667344558153,-0.005800000000000069,5
AZRNW,0.001,0.0005,0.001,0.0005,0.0008333333333333334,100.0,70.71067811865476,0.0002500000000000001,3
BAIN,105.5,106.6,106.6,104.5,105.60000000000001,-1.0318949343339534,1.06232656658055,0.03571428571429059,7
BALYO,0.388,0.372,0.391,0.372,0.38557142857142856,4.3010752688172085,2.692620172279621,0.002000000000000003,7
BAMNB,7.618,7.834,7.834,7.36,7.609399999999999,-2.7572121521572543,3.2802040859547366,-0.037700000000001274,5
BANI,3.14,3.2,3.44,3.14,3.2359999999999998,-1.8750000000000018,6.631539702134358,0.011999999999999213,5
BANQ,4.06,3.88,4.06,3.88,3.932,4.639175257731951,1.4600133538987123,0.039999999999999765,5
BAR,14.07,13.97,14.26,13.72,13.956,0.7158196134574062,2.54601772933793,0.06999999999999924,5
BASS,57.8,52.8,57.8,52.6,55.34285714285715,9.469696969696969,3.482111011088342,0.9785714285714308,7
BB,53.8,53.9,53.9,52.0,53.37857142857143,-0.18552875695733104,1.7800431634017204,0.07321428571428598,7
BCART,0.29,0.29,0.29,0.29,0.29,0.0,0.0,3.0206719197306074e-19,2
BEKB,38.46,38.62,38.65,38.0,38.398,-0.41429311237699795,1.2192506539485577,0.006999999999998831,5
BELYS,1.03,0.936,1.08,0.936,1.0131999999999999,10.042735042735039,6.224917596337124,0.020799999999999933,5
BEN,8.535,8.67,8.67,8.085,8.390571428571429,-1.5570934256055338,3.3228828830181016,0.009000000000000419,7
BESI,115.8,110.86,119.75,105.8,112.18199999999999,4.456070719826807,7.930971158736435,2.0929999999999986,5
